month,make,number
2017-03,MCLAREN,0
2017-03,MERCEDES BENZ,753
2017-03,MINI,57
2017-03,MITSUBISHI,616
2017-03,MITSUOKA,3
2017-03,MORRIS,0
2017-03,NAZA,3
2017-03,NISSAN,688
2017-03,OPEL,19
2017-03,PERODUA,37
2017-03,PEUGEOT,79
2017-03,PORSCHE,78
2017-03,PROTON,49
2017-03,RENAULT,28
2017-03,ROLLS ROYCE,3
2017-03,SAAB,6
2017-03,SKODA,8
2017-03,SSANGYONG,2
2017-03,SUBARU,312
2017-03,SUZUKI,335
2017-03,TD CARS,0
2017-03,TOYOTA,2536
2017-03,TRIUMPH,0
2017-03,V.W. PROSHE,1
2017-03,VOLKSWAGEN,420
2017-03,VOLVO,159
2017-03,WULING,1
2017-03,ZOTYE,2
2017-04,ALFA ROMEO,15
2017-04,ALPINA,1
2017-04,ASTON MARTIN,2
2017-04,AUDI,265
2017-04,AUSTIN,1
2017-04,B.M.W.,671
2017-04,BENTLEY,10
2017-04,CHANA,0
2017-04,CHERY,18
2017-04,CHEVROLET,132
2017-04,CHRYSLER,3
2017-04,CITROEN,45
2017-04,DAIHATSU,40
2017-04,DODGE,0
2017-04,DONGFENG,1
2017-04,FERRARI,10
2017-04,FIAT,29
2017-04,FORD,51
2017-04,FRAZER,0
2017-04,GEELY,15
2017-04,HAFEI,6
2017-04,HOLDEN,0
2017-04,HONDA,1724
2017-04,HUMMER,0
2017-04,HYUNDAI,378
2017-04,INFINITI,3
2017-04,JAGUAR,37
2017-04,JEEP,5
2017-04,KIA,233
2017-04,LAMBORGHINI,5
2017-04,LAND ROVER,14
2017-04,LOTUS,4
2017-04,M.G.,1
2017-04,MASERATI,15
2017-04,MAYBACH,0
2017-04,MAZDA,313
2017-04,MCLAREN,3
2017-04,MERCEDES BENZ,675
2017-04,MINI,62
2017-04,MITSUBISHI,479
2017-04,MITSUOKA,0
2017-04,MORRIS,0
2017-04,NAZA,0
2017-04,NISSAN,603
2017-04,OPEL,18
2017-04,PERODUA,27
2017-04,PEUGEOT,72
2017-04,PORSCHE,69
2017-04,PROTON,25
2017-04,RENAULT,29
2017-04,ROLLS ROYCE,2
2017-04,SAAB,9
2017-04,SKODA,4
2017-04,SSANGYONG,2
2017-04,SUBARU,275
